Row_ID,Treaty,provision,actorholder,action,actoraffected,treatytext
NAGOYA_M003,Nagoya,"Nagoya, Article 5(1)",Contracting Party,"Duty: Ensure benefits from utilization of genetic resources are shared fairly and equitably with the providing Party (country of origin or Party that acquired in accordance with the CBD), on mutually agreed terms.",Resource-Providing Party,"In accordance with Article 15, paragraphs 3 and 7 of the Convention, benefits arising from the utilization of genetic resources as well as subsequent applications and commercialization shall be shared in a fair and equitable way with the Party providing such resources that is the country of origin of such resources or a Party that has acquired the genetic resources in accordance with the Convention. Such sharing shall be upon mutually agreed terms."
NAGOYA_M004,Nagoya,"Nagoya, Article 5(2)",Contracting Party,"Duty: Ensure benefits from utilization of genetic resources held by IPLCs are shared fairly and equitably with the concerned communities, based on mutually agreed terms.",IPLCs,"Each Party shall take legislative, administrative or policy measures, as appropriate, with the aim of ensuring that benefits arising from the utilization of genetic resources that are held by indigenous and local communities, in accordance with domestic legislation regarding the established rights of these indigenous and local communities over these genetic resources, are shared in a fair and equitable way with the communities concerned, based on mutually agreed terms."
NAGOYA_M006,Nagoya,"Nagoya, Article 5(5)",Contracting Party,"Duty: Ensure benefits from utilization of TK associated with genetic resources are shared fairly and equitably with IPLCs holding such knowledge, on mutually agreed terms.",IPLCs,"Each Party shall take legislative, administrative or policy measures, as appropriate, in order that the benefits arising from the utilization of traditional knowledge associated with genetic resources are shared in a fair and equitable way with indigenous and local communities holding such knowledge. Such sharing shall be upon mutually agreed terms."
NAGOYA_M008,Nagoya,"Nagoya, Article 6(2)",Contracting Party,Duty: Ensure PIC or approval and involvement of IPLCs is obtained for access to genetic resources where IPLCs have the established right to grant access.,IPLCs,"In accordance with domestic law, each Party shall take measures, as appropriate, with the aim of ensuring that the prior informed consent or approval and involvement of indigenous and local communities is obtained for access to genetic resources where they have the established right to grant access to such resources."
NAGOYA_M011,Nagoya,"Nagoya, Article 6(3)(c)",Contracting Party,Duty: Provide information on how to apply for PIC.,Resource Users,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (c) Provide information on how to apply for prior informed consent;"
NAGOYA_M013,Nagoya,"Nagoya, Article 6(3)(e)",Contracting Party,Duty: Issue a permit (or equivalent) at the time of access as evidence of PIC and MAT; notify the ABS Clearing-House accordingly.,Clearing-House,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (e) Provide for the issuance at the time of access of a permit or its equivalent as evidence of the decision to grant prior informed consent and of the establishment of mutually agreed terms, and notify the Access and Benefit-sharing Clearing-House accordingly;"
NAGOYA_M014,Nagoya,"Nagoya, Article 6(3)(f)",Contracting Party,"Duty: Set criteria/processes for obtaining IPLC PIC or approval and involvement, where applicable and subject to domestic law.",IPLCs,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (f) Where applicable, and subject to domestic legislation, set out criteria and/or processes for obtaining prior informed consent or approval and involvement of indigenous and local communities for access to genetic resources;"
NAGOYA_M015,Nagoya,"Nagoya, Article 6(3)(g)",Contracting Party,"Duty: Establish clear rules and procedures for requiring/establishing MAT in writing (e.g., dispute settlement, benefit-sharing incl. IP, third-party use, change of intent).",Resource Users,"Pursuant to paragraph 1 above, each Party requiring prior informed consent shall take the necessary legislative, administrative or policy measures, as appropriate, to: ... (g) Establish clear rules and procedures for requiring and establishing mutually agreed terms. Such terms shall be set out in writing and may include, inter alia: (i) A dispute settlement clause; (ii) Terms on benefit-sharing, including in relation to intellectual property rights; (iii) Terms on subsequent third-party use, if any; and (iv) Terms on changes of intent, where applicable."
NAGOYA_M016,Nagoya,"Nagoya, Article 7(1)",Contracting Party,"Duty: Ensure access to TK associated with genetic resources held by IPLCs occurs with PIC/approval and involvement of IPLCs, and that MAT are established.",IPLCs,"In accordance with domestic law, each Party shall take measures, as appropriate, with the aim of ensuring that traditional knowledge associated with genetic resources that is held by indigenous and local communities is accessed with the prior and informed consent or approval and involvement of these indigenous and local communities, and that mutually agreed terms have been established."
NAGOYA_M026,Nagoya,"Nagoya, Article 12(1)",Contracting Party,"Duty: Shall, in accordance with domestic law, take into consideration IPLCs’ customary laws, community protocols and procedures with respect to TK associated with genetic resources.",IPLCs,"In implementing their obligations under this Protocol, Parties shall in accordance with domestic law take into consideration indigenous and local communities' customary laws, community protocols and procedures, as applicable, with respect to traditional knowledge associated with genetic resources."
