Row_ID,Treaty,provision,actorholder,action,actoraffected,treatytext
BBNJ_M021,BBNJ,"BBNJ, Article 12(1)",Contracting Party,Duty: Must take measures to ensure information is notified to the Clearing-House Mechanism in accordance with this Part.,Clearing-House,"“Parties shall take the necessary legislative, administrative or policy measures to ensure that information is notified to the Clearing-House Mechanism in accordance with this Part.”"
BBNJ_M032,BBNJ,"BBNJ, Article 12(3)",Clearing-House,Duty: Must automatically generate a “BBNJ” standardized batch identifier upon receipt of the prior notification.,Contracting Party,"“Upon notification referred to in paragraph 2 above, the Clearing-House Mechanism shall automatically generate a ‘BBNJ’ standardized batch identifier.”"
BBNJ_M034,BBNJ,"BBNJ, Article 12(5)",Contracting Party,"Duty: Must notify specified post-collection information (incl. repository/database locations, deposit of samples, area/depth report, updates to data management plan) as soon as available, and no later than one year from collection in situ.",Clearing-House,"“Parties shall ensure that the following information, along with the ‘BBNJ’ standardized batch identifier, is notified to the Clearing-House Mechanism as soon as it becomes available, but no later than one year from the collection in situ of marine genetic resources of areas beyond national jurisdiction: (a) The repository or database where digital sequence information on marine genetic resources is or will be deposited; (b) Where all marine genetic resources collected in situ are or will be deposited or held; (c) A report detailing the geographical area from which marine genetic resources were collected, including information on the latitude, longitude and depth of collection, and, to the extent available, the findings from the activity undertaken; (d) Any necessary updates to the data management plan provided under paragraph (2) (j) above.”"
BBNJ_M035,BBNJ,"BBNJ, Article 12(6)",Contracting Party,"Duty: Must ensure samples/DSI in repositories or databases under their jurisdiction can be identified as originating from ABNJ, in accordance with current international practice and to the extent practicable.",Stakeholders,"“Parties shall ensure that samples of marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction that are in repositories or databases under their jurisdiction can be identified as originating from areas beyond national jurisdiction, in accordance with current international practice and to the extent practicable.”"
BBNJ_M037,BBNJ,"BBNJ, Article 12(8)(a)",Contracting Party,"Duty: Must ensure notification (as soon as available) of where results of utilization (e.g., publications; patents granted, if available and to the extent possible; products developed) can be found, including the “BBNJ” identifier if available.",Clearing-House,"“Where marine genetic resources of areas beyond national jurisdiction, and where practicable, the digital sequence information on such resources are subject to utilization, including commercialization, by natural or juridical persons under their jurisdiction, Parties shall ensure that the following information, including the ‘BBNJ’ standardized batch identifier, if available, be notified to the Clearing-House Mechanism as soon as such information becomes available: (a) Where the results of the utilization, such as publications, patents granted, if available and to the extent possible, and products developed, can be found;”"
BBNJ_M038,BBNJ,"BBNJ, Article 12(8)(b)",Contracting Party,Duty: Must ensure notification of details of the post-collection notification related to utilized MGR.,Clearing-House,"“(b) Where available, details of the post-collection notification to the Clearing-House Mechanism related to the marine genetic resources that were the subject of utilization;”"
BBNJ_M039,BBNJ,"BBNJ, Article 12(8)(c)",Contracting Party,Duty: Must ensure notification of where the original MGR sample is held.,Clearing-House,“(c) Where the original sample that is the subject of utilization is held;”
BBNJ_M040,BBNJ,"BBNJ, Article 12(8)(d)",Contracting Party,Duty: Must ensure notification of access modalities for MGR/DSI being utilized and a data management plan for the same.,Clearing-House,"“(d) The modalities envisaged for access to marine genetic resources and digital sequence information on marine genetic resources being utilized, and a data management plan for the same;”"
BBNJ_M043,BBNJ,"BBNJ, Article 14(1)",Contracting Party,Duty: Must ensure benefits from utilization of MGR/DSI of ABNJ are shared fairly and equitably in accordance with this Part.,Concerned Parties,“1. The benefits arising from activities with respect to marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction shall be shared in a fair and equitable manner in accordance with this Part and contribute to the conservation and sustainable use of marine biological diversity of areas beyond national jurisdiction.”
BBNJ_M044,BBNJ,"BBNJ, Article 14(2)",Contracting Party,"Duty: Must share non-monetary benefits in the forms listed (e.g., access to samples/DSI, FAIR data, technology transfer, capacity-building).",Concerned Parties,"“2. Non-monetary benefits shall be shared in accordance with this Agreement in the form of, inter alia: (a) Access to samples and sample collections in accordance with current international practice; (b) Access to digital sequence information in accordance with current international practice; (c) Open access to findable, accessible, interoperable and reusable (FAIR) scientific data in accordance with current international practice and open and responsible data governance; (d) Information contained in the notifications, along with “BBNJ” standardized batch identifiers, provided in accordance with article 12, in publicly searchable and accessible forms; (f) Capacity-building, including by financing research programmes, and partnership opportunities, particularly directly relevant and substantial ones, for scientists and researchers in research projects, as well as dedicated initiatives, in particular for developing States, taking into account the special circumstances of small island developing States and of least developed countries; (g) Increased technical and scientific cooperation, in particular with scientists from and scientific institutions in developing States; (h) Other forms of benefits as determined by the Conference of the Parties, taking into account recommendations of the access and benefit-sharing committee established under article 15.”"
BBNJ_M045,BBNJ,"BBNJ, Article 14(3)",Contracting Party,Duty: Must ensure MGR/DSI subject to utilization are deposited in publicly accessible repositories/databases within timelines set.,Stakeholders,"“3. Parties shall take the necessary legislative, administrative or policy measures to ensure that marine genetic resources and digital sequence information on marine genetic resources of areas beyond national jurisdiction, together with their “BBNJ” standardized batch identifiers, subject to utilization by natural or juridical persons under their jurisdiction are deposited in publicly accessible repositories and databases, maintained either nationally or internationally, no later than three years from the start of such utilization, or as soon as they become available, taking into account current international practice.”"
